date,open,high,low,pre_close,change,pct_chg,vol,amount,index_close,index_pct_chg,index_vol,index_amount,turnover_rate,macd_bfq,macd_dea_bfq,macd_dif_bfq,rsi_bfq_6,rsi_bfq_12,rsi_bfq_24,kdj_k_bfq,kdj_d_bfq,boll_upper_bfq,boll_mid_bfq,boll_lower_bfq,OT
2001-08-27,34.51,37.78,32.85,31.39,4.16,13.25,406318.0,1410347.179,1827.25,-3.1561,6422406.0,8533415.666,56.8277,0.0,0.0,0.0,100.0,100.0,100.0,73.61377,73.61377,37.602,36.5,35.399,35.55
2001-08-28,34.99,37.0,34.61,35.55,1.31,3.69,129647.79,463463.143,1843.385,0.883,5792216.0,7195598.859,18.1326,0.167,0.021,0.105,100.0,100.0,100.0,73.61377,73.61377,37.602,36.5,35.399,36.86
2001-08-29,36.98,37.0,36.1,36.86,-0.48,-1.3,53252.75,194689.62,1847.536,0.2252,5007758.0,6435768.523,7.4479,0.202,0.046,0.147,93.172,96.776,98.432,73.61377,73.61377,37.602,36.5,35.399,36.38
2001-08-30,36.28,37.51,36.0,36.38,0.72,1.98,48013.06,177558.558,1839.631,-0.4279,3337667.0,4167963.515,6.7151,0.304,0.084,0.236,93.919,96.938,98.469,73.61377,73.61377,37.602,36.5,35.399,37.1
2001-08-31,37.15,37.62,36.8,37.1,-0.09,-0.24,23231.48,86231.237,1834.138,-0.2986,3136065.0,3657216.971,3.2492,0.339,0.126,0.296,92.402,96.28,98.163,73.61377,73.61377,37.602,36.5,35.399,37.01
2001-09-03,37.2,37.57,36.85,37.01,-0.02,-0.05,22112.09,82129.438,1817.19,-0.924,3757565.0,4566065.371,3.0926,0.338,0.169,0.338,92.006,96.122,98.092,73.61377,73.61377,37.602,36.5,35.399,36.99
2001-09-04,37.01,38.08,36.88,36.99,0.47,1.27,37006.77,139204.38,1862.36,2.4857,5776750.0,7228937.238,5.1758,0.377,0.216,0.404,92.869,96.279,98.125,73.61377,73.61377,37.602,36.5,35.399,37.46
2001-09-05,37.61,37.92,37.21,37.46,-0.02,-0.05,26066.95,97796.243,1868.27,0.3173,5767578.0,7342648.825,3.6457,0.375,0.263,0.45,92.36,96.098,98.049,73.61377,73.61377,37.602,36.5,35.399,37.44
2001-09-06,37.35,37.47,36.51,37.44,-0.74,-1.98,28997.03,107078.403,1861.561,-0.3591,4010226.0,5237039.339,4.0555,0.255,0.294,0.422,74.287,89.346,95.213,73.61377,73.61377,37.602,36.5,35.399,36.7
2001-09-07,36.5,36.95,35.65,36.7,-1.02,-2.78,31552.25,113868.743,1808.844,-2.8319,5342606.0,6510054.132,4.4129,0.031,0.298,0.314,56.122,80.809,91.409,59.35442,68.86065,37.602,36.5,35.399,35.68
