date,open,high,low,pre_close,change,pct_chg,vol,amount,index_close,index_pct_chg,index_vol,index_amount,OT
2001-08-27,34.51,37.78,32.85,31.39,4.16,13.25,406318.0,1410347.179,1827.25,-3.1561,6422406.0,8533415.666,35.55
2001-08-28,34.99,37.0,34.61,35.55,1.31,3.69,129647.79,463463.143,1843.385,0.883,5792216.0,7195598.859,36.86
2001-08-29,36.98,37.0,36.1,36.86,-0.48,-1.3,53252.75,194689.62,1847.536,0.2252,5007758.0,6435768.523,36.38
2001-08-30,36.28,37.51,36.0,36.38,0.72,1.98,48013.06,177558.558,1839.631,-0.4279,3337667.0,4167963.515,37.1
2001-08-31,37.15,37.62,36.8,37.1,-0.09,-0.24,23231.48,86231.237,1834.138,-0.2986,3136065.0,3657216.971,37.01
2001-09-03,37.2,37.57,36.85,37.01,-0.02,-0.05,22112.09,82129.438,1817.19,-0.924,3757565.0,4566065.371,36.99
2001-09-04,37.01,38.08,36.88,36.99,0.47,1.27,37006.77,139204.38,1862.36,2.4857,5776750.0,7228937.238,37.46
2001-09-05,37.61,37.92,37.21,37.46,-0.02,-0.05,26066.95,97796.243,1868.27,0.3173,5767578.0,7342648.825,37.44
2001-09-06,37.35,37.47,36.51,37.44,-0.74,-1.98,28997.03,107078.403,1861.561,-0.3591,4010226.0,5237039.339,36.7
2001-09-07,36.5,36.95,35.65,36.7,-1.02,-2.78,31552.25,113868.743,1808.844,-2.8319,5342606.0,6510054.132,35.68
2001-09-10,35.4,36.85,35.01,35.68,1.02,2.86,18878.89,68406.471,1856.529,2.6362,6135467.0,7570420.33,36.7
2001-09-11,36.8,36.95,36.2,36.7,-0.41,-1.12,11390.81,41579.698,1863.78,0.3906,5186900.0,6564937.593,36.29
2001-09-12,35.33,36.2,35.3,36.29,-0.31,-0.85,25045.19,89421.38,1852.604,-0.5996,9590515.0,9852090.612,35.98
2001-09-13,36.01,36.3,35.7,35.98,-0.09,-0.25,10986.68,39512.775,1839.909,-0.6853,3884512.0,4730889.777,35.89
2001-09-14,36.01,36.5,35.8,35.89,0.41,1.14,7672.83,27740.691,1818.382,-1.17,4997797.0,5505286.687,36.3
2001-09-17,36.08,36.29,35.5,36.3,-0.46,-1.27,8983.97,32183.249,1784.608,-1.8574,5286835.0,5668955.973,35.84
2001-09-18,35.88,36.55,35.85,35.84,0.41,1.14,10773.26,39006.062,1798.622,0.7853,4073289.0,4488183.676,36.25
2001-09-19,36.3,36.92,36.06,36.25,0.67,1.85,8650.53,31597.369,1822.695,1.3384,3961889.0,4832961.256,36.92
