file_name,rows_total,rows_written,rows_deduplicated,rows_missing_post_id,rows_missing_publish_time,rows_empty_content,rows_with_html,rows_multistock,rows_stock_count_mismatch,min_publish_time,max_publish_time
雪球上市公司数据_1.xlsx,368294,368294,,,,56,341203,14726,4360,2011-07-13 15:00:00,2023-07-06 09:47:30
雪球上市公司数据_2.xlsx,368294,368294,,,,36,345587,7441,810,2023-07-06 09:47:35,2024-04-17 15:16:19
雪球上市公司数据_3.xlsx,368294,368294,,,,44,340295,5787,1005,2024-04-17 15:16:24,2024-08-30 09:51:54
雪球上市公司数据_4.xlsx,368294,368294,,,,79,333554,7581,1964,2024-08-30 09:52:04,2024-12-20 07:51:00
雪球上市公司数据_5.xlsx,368294,368294,,,,86,333897,8478,1844,2024-12-20 07:51:22,2025-03-24 18:30:17
雪球上市公司数据_6.xlsx,368294,368294,,,,79,341748,8086,2048,2025-03-24 18:30:23,2025-05-15 16:56:07
雪球上市公司数据_7.xlsx,368294,368294,,,,43,334671,10022,2978,2025-05-15 16:56:07,2025-07-10 23:00:52
雪球上市公司数据_8.xlsx,368294,368294,,,,30,332434,10066,5026,2025-07-10 23:00:53,2025-08-20 23:10:54
雪球上市公司数据_9.xlsx,368294,368294,,,,28,336354,9043,5832,2025-08-20 23:11:00,2025-09-16 14:34:08
雪球上市公司数据_10.xlsx,368285,368285,,,,34,331882,11596,6986,2025-09-16 14:34:09,2025-10-16 18:30:11
